"id","name","start","end","district","category","zone","length","material","depth","lvd","mvd","hvd","activeMonth","activeYear","exitPoints__001","exitPoints__002","exitPoints__003","exitPoints__004","remarks","rut","potholes","crack","long_crack","iri","bridge","priority","mountain","single_axle_load","no_shoulder","shoulder_width","average_temperature"
"17","Talwar Pike Road","New Advaya","Lake Acharyanandana","amd","rr","e","75.37034808576819","e","1.9792548114660935","4174","85.6786573005845","1227","11","2009","Ahluwaliamouth","Gunetafurt","West Mandaakinton","Guptaberg","Quam consequatur reiciendis quisquam minus.","17.544449954817914","17","27","25.906142345097123","5.984647546755599","1","7.47","1","744689.6400776356","0","4.2865399658565","24.08816027569221"
"18","Mehra Pine Road","Jhahaven","North Aatmajmouth","rjk","nr","w","14.345178489737886","b","3.4466764925735505","3688","73.48852571013373","1782","7","1982","Anjaneyaview","Aaratrikamouth","East Dhatri","Port Shobhana","Aut id laudantium dolores magni.","17.436355285900568","3","25","19.297346618759473","1.6713633655376232","1","4.31","0","1289331.2060460357","0","5.331552631204293","23.017006488283293"
"19","Dhanalakshmi Knoll Road","Bhavaniview","Agarwalmouth","bhj","rr","w","43.94097337831666","g","0.20018131370288517","1805","11.496165586569095","705","8","2018","Shobhanaland","Bandopadhyaystad","East Lilashire","Mehrabury","Praesentium aliquam in facilis consectetur et.","21.087927407740693","3","10","22.099027493488247","4.293208249838349","0","5.31","1","955428.89348992","0","7.002313415736697","31.3217802167226"
"20","Abhaya Walk Road","New Chandra","North Aatreyastad","bhj","nh","e","12.349797140227148","b","9.41092186865519","1617","53.32646568903235","1532","3","2013","Talwarview","New Aashritha","Lake Annapurna","Mishrachester","Beatae quia blanditiis optio exercitationem numquam assumenda quasi quidem.","4.899240934564386","16","32","25.492822753230048","1.9228296185765132","1","8.16","0","1517098.503825269","1","5.569208686301473","18.93942968131904"
"21","Arora Curve Road","Mishrachester","Chidambaramfurt","bhj","nh","s","94.18849866582613","c","9.407016403728996","4702","51.996606823343086","1364","12","1989","North Amodiniport","South Ganak","Girikamouth","Port Adityanandanbury","Voluptatem recusandae omnis nesciunt qui sed qui et non a.","15.057523970858107","0","15","6.203131855742578","4.852618851390705","1","9.2","1","912828.6100700644","1","5.611065248907853","14.519312928753623"
"22","Dubashi Island Road","West Trilokanathhaven","Varmaberg","vdd","ne","w","129.1919013756326","b","5.795491538847408","3748","10.418298147589855","1482","4","2004","South Ambar","South Aashritha","New Vidya","South Anjushree","Earum aspernatur voluptate.","2.34510409238269","2","12","21.359166759781512","2.437933412344113","1","6.36","0","1569324.3120880483","1","5.982776431796744","14.485669763996707"
"23","Manikya Island Road","South Bhaumikbury","Devajyotihaven","and","nr","s","80.61221608190445","e","2.8913069738847907","1761","6.162346896120319","1597","12","1993","Lake Digambar","Bhupenmouth","Adheeshfurt","South Acharyasuta","Assumenda accusamus cumque est ut deserunt debitis.","3.2506814040937173","15","17","25.673995543393893","5.100775222810871","1","4.43","0","1552531.538957865","1","7.93734128316174","31.568340128986684"
"24","Avani Grove Road","East Gopee","Lakshminathberg","srt","nr","e","16.203991058111768","c","4.626508640914215","2702","35.07788953762816","1810","9","2015","Port Devadattbury","Sumanberg","Trivediborough","New Mangalyaburgh","Voluptas qui error quia rem id.","7.737001507340921","11","30","23.9258413547633","2.822116442274036","1","8.43","1","1425452.5805158922","1","2.755918298018827","35.39257846218597"
"25","Daiwik Trafficway Road","Acharyahaven","East Akshainieberg","srt","rr","s","159.59393104641046","b","6.216467546327504","4355","5.189160137289117","918","10","1993","Port Guru","Sanjayside","South Padmafort","Ahujabury","Deserunt omnis et molestias quaerat recusandae ut suscipit at.","9.19460006145247","15","36","26.22781973552158","4.859561856964243","0","4.18","1","811992.0289683721","0","7.710146316326507","13.75214294920128"
"26","Mangalya View Road","Lake Trilokesh","West Atmajaview","rjk","nr","e","94.5220174786387","e","8.189983997075242","3158","20.416179502573396","163","12","2003","West Chitrangada","Shahfort","Jayahaven","Akroorhaven","Reprehenderit iusto minima quis et id adipisci sunt molestiae alias.","8.675550106511743","15","36","22.781170424207854","1.7161182100525334","1","5.08","1","1073612.7795291143","1","2.555951281219759","16.39093048031313"
"27","Gowda Center Road","East Ganakberg","Kashyapiland","srt","ne","e","171.01954507357328","g","7.253118836148271","2220","68.9851459398964","1995","6","1986","Guhaview","Koccharton","Gunetabury","Chattopadhyayhaven","Sed rem quis suscipit dolor est nulla commodi.","4.605890931564064","9","33","3.7947441390171193","2.054061021377861","0","9.15","0","1561415.4771176577","1","5.18060326917796","41.889398204849684"
"28","Basanti Pines Road","Suryaburgh","Lake Ankalborough","amd","nh","w","91.18403446901576","b","0.8455514286218491","4400","92.91007635987636","14","11","1985","North Bhardwajburgh","North Sachinfurt","Gopaalbury","Satishhaven","Harum dignissimos ut.","23.601838439390285","6","16","7.367743656131146","2.158281424848168","1","5.49","0","1342112.766180726","0","2.9027471955920667","21.36316730598591"
"29","Saini Passage Road","Lake Bhaaswar","South Anuraag","and","nh","n","186.22781149285493","b","9.017358607358432","367","41.14274518892158","65","10","1996","Shashimouth","West Bhimamouth","West Sarojaville","Shahland","Tempore soluta vel omnis sint quasi.","23.873820621854367","5","14","27.757962892951422","1.5708349764996872","1","4.13","0","1132624.6382150035","0","6.033325908452696","40.27534873245554"
"30","Verma Canyon Road","New Dhruvstad","Bharadwajville","amd","ne","w","66.53029667848007","c","2.9483267954898085","1118","9.461229016725593","531","8","2018","Pillailand","Gopeeborough","Lake Dhananjay","North Soma","Molestiae ad corporis eveniet sunt ut et omnis eos aperiam.","13.32532536956883","10","17","9.975538312887537","2.9063840718884326","1","9.14","1","1008794.7307800043","1","2.620312617652109","21.881853936458707"
"31","Sujata Court Road","Deeptimayeestad","Amritambuview","bhj","ne","w","20.830811973333894","c","3.1360860766773535","3019","66.57735559364009","1841","5","1982","Talwarmouth","South Darshanburgh","North Deeptanshu","Mehrafort","Recusandae et et tenetur est inventore esse nemo.","18.26241814130279","4","34","10.098465729324355","3.211116201946726","1","7.06","0","1084605.6559075764","1","4.472998927949276","14.022700463994077"
"32","Abbott Spurs Road","West Gandharv","South Bhadranton","vdd","ne","e","55.03490093129102","e","4.751613274302922","1489","55.05762962061276","1034","2","1988","Nehruborough","New Vidyaport","Shubhaside","Port Akshata","Qui qui laboriosam saepe qui repellat ut eaque.","12.12980234682096","9","11","13.988952147040953","3.7312897026972975","0","6.34","0","1408651.3098982307","1","3.076263087903213","33.79923407559171"
"33","Adinath Street Road","New Shrishtistad","Gillmouth","and","nr","s","18.424086720397213","e","6.4664418475600165","914","81.8355244648866","434","12","2009","Lake Ghanaanand","Port Swaraport","South Avantika","Pandeyhaven","Vero a id unde suscipit omnis alias voluptatem dolorem temporibus.","12.145352984012263","4","20","2.5247241550062904","3.3601416927115335","0","8.08","0","1595169.930652799","1","2.8559405215565534","32.01457438169738"
"34","Guha Avenue Road","Kalpanaton","East Vaijayantiton","and","ne","s","12.045883662403156","c","7.4631171856697875","1417","78.94770193818567","85","5","1997","Port Sheelachester","South Shwetfort","North Bhavaniview","West Pran","Et earum et perferendis ea sint.","14.883948277921554","14","41","10.190562424045318","5.540277512080916","0","4.43","1","1384058.8048519054","1","4.596321128496513","16.904914031112508"
"35","Somayaji Plaza Road","Port Sukanya","Reddystad","srt","ne","n","10.8810233097552","c","3.1823499246371068","469","44.42783858521757","1350","3","1984","Gitanjalimouth","South Chandrabhagamouth","South Dharitri","Jhaport","Deserunt aliquam qui esse voluptas officiis.","21.731757885820702","16","36","25.341296361463133","4.032273750465695","1","6.27","1","1250100.1658257998","0","5.694645717948427","16.312607986093177"
"36","Agneya Road Road","South Balamaniville","East Aanjaneyahaven","and","nh","n","40.546404471069984","c","0.2750991670412617","2617","0.5508244223298542","69","6","1989","Port Daevi","Atmanandaton","Ahujachester","Port Navinshire","Error nam voluptate ullam delectus.","3.4021258547274886","13","24","17.78496068557698","2.8300572943050843","1","9.32","1","824909.7104312354","1","2.9059219553853533","14.444463201552143"
"37","Dhawan Island Road","New Brahmaanandshire","Port Tapan","srt","ne","s","174.3720815191899","c","9.041471280201828","309","99.07846548865808","745","3","1989","New Hiranyafurt","East Gitanjaliville","Lake Subhash","Port Damodarafort","Vitae qui qui autem velit porro consequatur veniam.","4.001116830343586","4","37","17.577667369232422","4.775434510503932","0","4.03","0","904913.7687951641","1","3.1834112344779193","27.806598755625735"
"38","Devi Grove Road","Pillaborough","Mohinderview","amd","rr","s","12.64675767224257","c","1.971559434639556","4731","12.83200834424898","506","4","2003","Mayoorburgh","South Shashistad","Devasreehaven","Siddhifort","Aut velit blanditiis in numquam.","5.477062891600079","2","39","5.966720916078663","3.782483770096173","0","6.46","1","1322611.450355647","1","7.522559913051806","13.927428175559802"
"39","Giri Turnpike Road","East Jagathi","East Arjun","rjk","ne","w","180.91543475611442","b","2.243851966058734","2434","11.286465509179378","828","8","1991","Vermafort","New Deevakar","North Vishwamitra","Chattopadhyayhaven","Quam voluptas tenetur harum corrupti quaerat eligendi quas neque dignissimos.","4.604779928828451","19","37","2.8782301341788963","2.1092678847528203","1","8.22","1","978733.988535687","1","5.6602055322107905","40.96095592830967"
"40","Aaryan Tunnel Road","Aroraborough","Port Suryamouth","vdd","ne","s","64.01177806548772","e","5.656962384692374","1203","58.19714354565835","1863","8","2001","Port Sanjaystad","Omanamouth","Pothuvaalfurt","Indiraland","Vel laborum quas consequuntur deleniti aliquam doloremque eos.","6.988862243834271","3","27","26.60152034815569","4.219894960954395","0","5.38","1","1430353.006439946","0","7.546245099156205","32.861790984365086"
"41","Indra Loop Road","Buttberg","Joharside","vdd","nr","s","123.39986902921018","c","8.982967977958058","3117","75.09400520156957","1719","10","2002","Lake Chatura","Lake Shubha","Lake Akshitashire","West Shresthiport","Molestias adipisci est optio quod in perferendis quas.","6.783630844128204","15","13","26.60320710592956","2.6739139769523383","1","4.06","1","1111073.0016459378","1","5.660283096291465","26.095802329632384"
"42","Gopaal Views Road","Port Rohit","Dandakmouth","bhj","nr","e","120.38426906416379","c","7.224489297855163","3409","5.61206453634302","526","3","2013","Aalokfort","Dikshamouth","Lake Chaanakyachester","East Bhoopat","Et eligendi fugit natus dolore fuga consequuntur tempora iusto quidem.","7.311222260948766","0","38","17.17187488752425","4.517503766529673","1","8.27","1","1162757.9613624485","1","6.741026706263259","21.7681034384916"
"43","Gandhi Mews Road","North Rajinder","Devadattchester","bhj","nr","w","167.63588223344422","c","1.3580084804973391","2087","78.41270568907845","367","2","1994","Dhawanhaven","North Suma","Port Lalfort","Balgopalton","Illum ut eveniet ut autem aspernatur.","5.264464367809472","0","39","24.25303733694471","3.6014501477810272","1","7.19","0","722647.8801663773","1","6.270724470827363","26.543909501566162"
"44","Amodini Path Road","Lake Parvatihaven","Dhananjayfurt","srt","ne","n","123.15983000152637","e","1.9015571186029656","2359","95.00136055549191","1263","4","1983","Archantown","East Harinarayan","North Gopaalstad","Lake Laxmimouth","Odit non quibusdam quidem illo aliquid deleniti.","3.114380753810386","2","38","7.314357627891988","1.7865937276265176","1","6.35","1","826648.5060911292","1","7.251140512812521","13.24730648960183"
"45","Banerjee Point Road","Guhaberg","Port Shresthiton","amd","nh","s","127.11358598743767","b","3.43905610700296","4848","56.193115558634176","406","8","2001","Kapoorbury","Port Tara","Lake Chandra","Chattopadhyayville","Odio voluptas placeat.","9.169625484782014","2","24","27.16331034958572","1.811977867499132","1","7.34","1","911776.6935017543","1","5.562067630700999","18.25599728475325"
"46","Dipankar Manors Road","Marutport","North Siddhi","bhj","nr","n","136.76417835391806","g","0.5382226393058254","3403","43.73968599781111","1583","7","2004","Tanushritown","Lake Gobindaville","East Marutberg","North Adinath","Voluptas architecto in facilis repellat laboriosam et ad odio sed.","9.552791446936943","8","24","8.536890586096243","3.73226150574625","1","7.28","1","743678.5939510138","0","5.559830924832849","29.676335901402044"
"47","Gandharva Court Road","Lake Sharmilaberg","Adigaborough","srt","nr","w","149.27446491194476","e","0.12309987626107688","2655","94.05290428932092","534","2","2014","Bhadrakside","North Harinakshi","Sethichester","Menonton","Consequatur harum illo non autem.","7.00944135467927","0","21","17.907150762161642","5.236199910169339","1","7.48","0","1411368.1466908874","0","4.668887219383417","38.09591302912655"
"48","Dutta Summit Road","Achariton","Bhaswarland","rjk","ne","w","77.80165621480202","b","6.650094262624897","4802","21.562616941963707","1859","11","2005","New Chatenland","North Manojstad","Lake Krishna","Port Shresth","Beatae inventore unde dolor aliquid numquam ad porro.","15.010934719771392","4","30","10.832372666642566","3.9166542337418946","1","5.45","1","1277330.8290465353","0","6.6512876908648195","41.78089231966703"
"49","Anasuya Keys Road","West Devvrat","Mehraberg","amd","rr","n","57.67390527262792","b","3.009203368206428","4634","59.864666733224055","497","5","2017","Jhafurt","North Gautami","Port Vaishnoton","Nayarmouth","Accusantium provident consequatur et voluptas id aut deleniti exercitationem.","14.904248317107381","0","14","8.466655241427047","4.2919938602209955","1","8.29","1","895083.8927986361","1","7.5013999344122695","35.900756623177685"
"50","Narinder Fords Road","North Bhadrakfort","Port Manjusha","and","nh","w","35.61851491949737","e","6.493838551883602","3074","9.892918264249783","852","2","2006","Port Ghanashyam","Lake Harita","Lake Samir","Port Aayushmaan","Cum pariatur sunt id possimus omnis tenetur cum quo repellendus.","3.9046988838738472","9","19","14.836612420103204","1.590205027765958","1","6.49","0","1611164.4239253437","1","5.629996696484464","19.787047488451666"
